region,country,,fertility,rank_wik,rank_prg,pop,GDP_PPP
South Asia,Afghanistan,,4.18,29,30.5,32890171,2203
Eastern & Central Europe,Albania,,1.58,158,157,2829741,15055.3333333333
Africa,Algeria,,2.94,60,60,45400000,11927
SSA,Angola,,5.37,6,6,32097671,6856.33333333333
North America,Antigua and Barbuda,,1.98,115,115,99337,19610.6666666667
Latin America,Argentina,,2.23,95,94.5,47327407,22884.6666666667
NIS & Russia,Armenia,,1.76,134,134,2963900,14252
North America,Aruba,Netherlands,1.9,124,124,111050,38635
"Australia, New Zealand & Polynesia",Australia,,1.58,157,157,26018604,54386.3333333333
Continental Europe,Austria,,1.44,176,176.5,9027999,57249.6666666667
NIS & Russia,Azerbaijan,,1.7,142,143,10164464,15336.3333333333
North America,Bahamas,,1.73,136,136.5,393450,34509.3333333333
Middle East,Bahrain,,1.94,120,120,1501635,48538.6666666667
South Asia,Bangladesh,,1.99,114,114,168220000,5490
North America,Barbados,,1.63,149,148.5,288000,14628.3333333333
NIS & Russia,Belarus,,1.38,182,181.5,9349645,20345.3333333333
Continental Europe,Belgium,,1.55,165,164,11657619,53918.3333333333
Latin America,Belize,,2.25,93,92,430191,6567.66666666667
SSA,Benin,,4.7,14,13.5,12506347,3643.33333333333
North America,Bermuda,UK,1.73,137,136.5,64055,81315
South Asia,Bhutan,,1.93,121,121,763200,12102.3333333333
Latin America,Bolivia,,2.65,72,72,11797257,8982.33333333333
Eastern & Central Europe,Bosnia and Herzegovina,,1.24,192,192,3320954,15998.3333333333
SSA,Botswana,,2.8,66,66,2410338,17991.6666666667
Latin America,Brazil,,1.71,141,140.5,214786984,15565.3333333333
South East Asia,Brunei,,1.8,131,131.5,429999,67605
Eastern & Central Europe,Bulgaria,,1.56,161,161,6520314,25378
SSA,Burkina Faso,,5.03,10,10,21510181,2373.33333333333
SSA,Burundi,,5.24,7,8,12574571,793.066666666667
Africa,Cabo Verde,,2.21,96,96.5,563198,7096.33333333333
South East Asia,Cambodia,,2.45,77,77,15552211,4768
SSA,Cameroon,,4.44,22,22,24348251,3937.66666666667
North America,Canada,,1.4,179,179.5,38728471,50595
SSA,Central African Republic,,4.57,15,15,5633412,1008.86666666667
SSA,Chad,,5.55,5,5,16818391,1629.33333333333
Continental Europe,Channel Islands,UK,1.5,168,168,#N/A,#N/A
Latin America,Chile,,1.61,151,150.5,19678363,25940
East Asia,China,,1.7,144,143,1412600000,18264.3333333333
Latin America,Colombia,,1.77,133,133,51049498,15837.3333333333
SSA,Comoros,,4.07,33,33,758316,3242.66666666667
Latin America,Costa Rica,,1.72,139,138.5,5163038,21740.6666666667
Eastern & Central Europe,Croatia,,1.48,173,171.5,3888529,31102.3333333333
Latin America,Cuba,,1.59,155,155,11181595,12300
Latin America,Curaçao,Netherlands,1.6,154,153,153671,22961.5
Eastern & Central Europe,Cyprus,,1.31,188,188,888005,42148.6666666667
Eastern & Central Europe,Czech Republic,,1.71,140,140.5,10516708,43375.3333333333
Scandinavia,Denmark,,1.67,145,145,5883562,61857.3333333333
SSA,Djibouti,,2.63,74,74,976107,5994.66666666667
Latin America,Dominican Republic,,2.3,88,87.5,10535535,19640
SSA,DR Congo,,5.72,3,3,92378000,1181.66666666667
South East Asia,East Timor,,3.85,40,40,1317780,3416
Latin America,Ecuador,,2.38,82,81.5,18004284,11645
Africa,Egypt,,3.24,55,55,103436476,13099.6666666667
Latin America,El Salvador,,2,113,113,6825935,9060
SSA,Equatorial Guinea,,4.35,23,23,1505588,18512
SSA,Eritrea,,3.93,37,37.5,3601000,1775.66666666667
Eastern & Central Europe,Estonia,,1.58,156,157,1330068,40033.3333333333
SSA,Eswatini,,2.92,61,61,1172000,9295.66666666667
Africa,Ethiopia,,4.05,34,34.5,117876000,2683.66666666667
Continental Europe,Faroe Islands,Denmark,2.3,87,87.5,53941,40000
"Australia, New Zealand & Polynesia",Fiji,,2.73,70,69.5,898402,12961
Scandinavia,Finland,,1.37,184,184,5550066,52133.3333333333
Continental Europe,France,,1.83,128,128.5,67853000,49482.3333333333
"Australia, New Zealand & Polynesia",French Polynesia,France,1.91,123,123,279890,17000
SSA,Gabon,,3.87,39,39,2233272,15996.3333333333
SSA,Gambia,,5.09,9,9,2487000,2382.33333333333
NIS & Russia,Georgia,,2.05,107,107.5,3728573,16149.6666666667
Continental Europe,Germany,,1.53,166,166,83222442,55955
SSA,Ghana,,3.77,42,42,30832019,5921
Mediterranean Europe,Greece,,1.34,187,186.5,10678632,31286.3333333333
North America,Greenland,Denmark,2.02,111,111.5,56562,41800
North America,Grenada,,2.02,112,111.5,113000,16428.6666666667
"Australia, New Zealand & Polynesia",Guam,US,2.27,90,90.5,153836,35600
Latin America,Guatemala,,2.78,68,67.5,17109746,9055
SSA,Guinea,,4.55,16,16,12907395,2803
SSA,Guinea-Bissau,,4.33,24,24,1646077,2240.66666666667
Latin America,Guyana,,2.42,78,78.5,743699,23682
Latin America,Haiti,,2.84,64,64,11743017,2971.33333333333
Latin America,Honduras,,2.39,80,80,9546178,5753.66666666667
East Asia,Hong Kong,China,0.87,199,199,7403100,61962
Eastern & Central Europe,Hungary,,1.56,162,161,9689000,35657.6666666667
Scandinavia,Iceland,,1.72,138,138.5,377280,57379
South Asia,India,,2.18,98,98,1375586000,7170.66666666667
South East Asia,Indonesia,,2.27,91,90.5,272248500,12807
Middle East,Iran,,2.14,102,102,85540906,14612.3333333333
Middle East,Iraq,,3.54,45,45,41190700,10928.6666666667
Continental Europe,Ireland,,1.63,148,148.5,5011500,102636
Mediterranean Europe,Israel,,2.9,62,62.5,9534620,44068
Mediterranean Europe,Italy,,1.24,191,192,58929360,44849.3333333333
SSA,Ivory Coast,,4.54,18,17.5,27087732,5672
North America,Jamaica,,1.95,118,118,2734093,9908
North Asia,Japan,,1.34,186,186.5,124930000,44146.6666666667
Middle East,Jordan,,2.64,73,73,11235836,10762.6666666667
NIS & Russia,Kazakhstan,,3.13,56,56,19248320,27860.6666666667
SSA,Kenya,,3.37,53,53,47564296,4947.66666666667
"Australia, New Zealand & Polynesia",Kiribati,,3.49,49,47.5,120740,2279.33333333333
Eastern & Central Europe,Kosovo,,1.95,117,118,1798188,12233.3333333333
Middle East,Kuwait,,2.07,105,105,4670713,50927
NIS & Russia,Kyrgyzstan,,3,58,58,6700000,5260
